"Date and Time","snr","rssi"
"05/29/2023 04:29:37 pm","8.5",""
"05/29/2023 04:29:37 pm","","-87"
"05/29/2023 04:28:53 pm","8.8","-85"
"05/29/2023 04:28:42 pm","7.8",""
"05/29/2023 04:28:42 pm","","-87"
"05/29/2023 04:28:31 pm","4.5","-91"
"05/29/2023 04:28:20 pm","8.8",""
"05/29/2023 04:28:20 pm","","-87"
"05/29/2023 04:28:09 pm","10.2",""
"05/29/2023 04:28:09 pm","","-89"
"05/29/2023 04:27:47 pm","8.8","-87"
"05/29/2023 04:27:25 pm","10",""
"05/29/2023 04:27:25 pm","","-89"
"05/29/2023 04:27:14 pm","9.5","-93"
"05/29/2023 04:27:03 pm","7.2","-87"
"05/29/2023 04:26:52 pm","10.2","-93"
"05/29/2023 04:26:41 pm","12.2",""
"05/29/2023 04:26:41 pm","","-87"
"05/29/2023 04:26:30 pm","7.8",""
"05/29/2023 04:26:30 pm","","-84"
"05/29/2023 04:26:08 pm","6.2","-81"
"05/29/2023 04:25:59 pm","7.2",""
"05/29/2023 04:25:59 pm","","-87"
