"Date and Time","snr","rssi"
"05/29/2023 05:05:18 pm","10.2","-83"
"05/29/2023 05:05:07 pm","7.2","-85"
"05/29/2023 05:04:45 pm","9.5","-84"
"05/29/2023 05:04:34 pm","9.2","-85"
"05/29/2023 05:04:23 pm","8.8","-87"
"05/29/2023 05:04:12 pm","9.5",""
"05/29/2023 05:04:12 pm","","-87"
"05/29/2023 05:03:50 pm","8.2",""
"05/29/2023 05:03:50 pm","","-89"
"05/29/2023 05:03:39 pm","7.5","-90"
"05/29/2023 05:03:28 pm","9.8",""
"05/29/2023 05:03:28 pm","","-85"
"05/29/2023 05:03:17 pm","9.2","-83"
"05/29/2023 05:02:55 pm","7.5","-84"
"05/29/2023 05:02:44 pm","8.8","-83"
"05/29/2023 05:02:33 pm","9.5","-85"
"05/29/2023 05:02:22 pm","9.5","-83"
"05/29/2023 05:02:11 pm","11",""
"05/29/2023 05:02:11 pm","","-82"
"05/29/2023 05:01:49 pm","8.2","-87"
"05/29/2023 05:01:27 pm","10","-92"
"05/29/2023 05:01:16 pm","0.8",""
"05/29/2023 05:01:16 pm","","-102"
"05/29/2023 05:01:05 pm","8.2","-93"
