"Date and Time","snr","rssi"
"06/02/2023 05:35:36 pm","9",""
"06/02/2023 05:35:36 pm","","-83"
"06/02/2023 05:35:25 pm","4","-83"
"06/02/2023 05:35:14 pm","8.2","-87"
"06/02/2023 05:35:03 pm","9","-91"
"06/02/2023 05:34:52 pm","8.5",""
"06/02/2023 05:34:52 pm","","-91"
"06/02/2023 05:34:41 pm","-3","-90"
"06/02/2023 05:34:30 pm","6.2",""
"06/02/2023 05:34:30 pm","","-77"
"06/02/2023 05:34:19 pm","7",""
"06/02/2023 05:34:19 pm","","-81"
"06/02/2023 05:33:46 pm","9.5",""
"06/02/2023 05:33:46 pm","","-91"
"06/02/2023 05:33:35 pm","9.2",""
"06/02/2023 05:33:35 pm","","-85"
"06/02/2023 05:33:24 pm","9","-96"
"06/02/2023 05:33:13 pm","7.8","-82"
"06/02/2023 05:33:02 pm","7.8",""
"06/02/2023 05:33:02 pm","","-79"
