"Date and Time","snr","rssi"
"06/05/2023 03:50:42 pm","7.5",""
"06/05/2023 03:50:42 pm","","-100"
"06/05/2023 03:50:31 pm","9.5",""
"06/05/2023 03:50:31 pm","","-96"
"06/05/2023 03:50:20 pm","8.5","-99"
"06/05/2023 03:49:58 pm","5.8",""
"06/05/2023 03:49:58 pm","","-101"
"06/05/2023 03:49:47 pm","2.8",""
"06/05/2023 03:49:47 pm","","-100"
"06/05/2023 03:49:36 pm","5.8","-101"
"06/05/2023 03:49:14 pm","6","-100"
"06/05/2023 03:48:52 pm","8.8","-97"
"06/05/2023 03:48:30 pm","6.5","-97"
"06/05/2023 03:48:19 pm","8.8","-96"
"06/05/2023 03:48:08 pm","-0.8","-101"
"06/05/2023 03:47:57 pm","8","-99"
"06/05/2023 03:47:46 pm","8","-97"
"06/05/2023 03:47:35 pm","8",""
"06/05/2023 03:47:35 pm","","-99"
"06/05/2023 03:47:24 pm","6.2","-89"
"06/05/2023 03:47:13 pm","8.5","-98"
"06/05/2023 03:46:40 pm","4.8","-100"
"06/05/2023 03:46:18 pm","8","-97"
"06/05/2023 03:46:07 pm","4.2","-94"
"06/05/2023 03:45:56 pm","6.5","-107"
"06/05/2023 03:45:45 pm","10.2",""
"06/05/2023 03:45:45 pm","","-103"
"06/05/2023 03:45:34 pm","4.8",""
"06/05/2023 03:45:34 pm","","-105"
"06/05/2023 03:45:24 pm","6.8","-98"
