"Date and Time","snr","rssi"
"06/05/2023 04:03:42 pm","1","-109"
"06/05/2023 04:03:09 pm","0.5","-108"
"06/05/2023 04:02:58 pm","-0.2","-105"
"06/05/2023 04:02:47 pm","4.2","-109"
"06/05/2023 04:02:36 pm","3.5",""
"06/05/2023 04:02:36 pm","","-111"
"06/05/2023 04:02:25 pm","0.5",""
"06/05/2023 04:02:25 pm","","-107"
"06/05/2023 04:02:03 pm","1.5",""
"06/05/2023 04:02:03 pm","","-111"
"06/05/2023 04:01:08 pm","1.5","-115"
"06/05/2023 04:00:24 pm","3.5",""
"06/05/2023 04:00:24 pm","","-109"
"06/05/2023 04:00:13 pm","",""
"06/05/2023 04:00:13 pm","","-113"
"06/05/2023 04:00:02 pm","5.8","-103"
"06/05/2023 03:59:51 pm","-3.8","-101"
"06/05/2023 03:59:40 pm","-6.8","-91"
"06/05/2023 03:58:34 pm","-2.2","-113"
"06/05/2023 03:58:23 pm","-5.5",""
"06/05/2023 03:58:23 pm","","-114"
"06/05/2023 03:58:12 pm","-2.5","-109"
"06/05/2023 03:58:01 pm","-1.8","-115"
"06/05/2023 03:57:39 pm","-2",""
"06/05/2023 03:57:39 pm","","-115"
"06/05/2023 03:57:29 pm","5.2","-108"
"06/05/2023 03:57:18 pm","1.8","-108"
"06/05/2023 03:57:07 pm","-10.5",""
"06/05/2023 03:57:07 pm","","-108"
"06/05/2023 03:56:45 pm","-5.8",""
"06/05/2023 03:56:45 pm","","-95"
