"Date and Time","snr","rssi"
"06/12/2023 04:24:40 pm","-6","-108"
"06/12/2023 04:24:29 pm","","-113"
"06/12/2023 04:23:56 pm","0.2",""
"06/12/2023 04:23:56 pm","","-111"
"06/12/2023 04:23:34 pm","-2.2","-113"
"06/12/2023 04:23:12 pm","4.8",""
"06/12/2023 04:23:12 pm","","-111"
"06/12/2023 04:23:01 pm","-0.2","-108"
"06/12/2023 04:22:07 pm","5.8","-103"
"06/12/2023 04:21:45 pm","0.2","-109"
"06/12/2023 04:21:34 pm","-11.5",""
"06/12/2023 04:21:34 pm","","-111"
"06/12/2023 04:21:23 pm","-1.2","-106"
"06/12/2023 04:21:01 pm","-10.2","-114"
"06/12/2023 04:20:50 pm","-8","-111"
