Date and Time,rssi
05/31/2023 12:49:57 pm,-87
05/31/2023 12:49:37 pm,-85
05/31/2023 12:49:27 pm,-85
05/31/2023 12:49:17 pm,-84
05/31/2023 12:49:07 pm,-85
05/31/2023 12:48:47 pm,-85
05/31/2023 12:48:37 pm,-84
05/31/2023 12:48:27 pm,-89
05/31/2023 12:48:07 pm,-89
05/31/2023 12:47:57 pm,-87
05/31/2023 12:47:27 pm,-87
05/31/2023 12:47:17 pm,-87
05/31/2023 12:46:57 pm,-90
05/31/2023 12:46:36 pm,-93
05/31/2023 12:46:16 pm,-95
05/31/2023 12:46:06 pm,-93
05/31/2023 12:45:56 pm,-87
05/31/2023 12:45:46 pm,-83
05/31/2023 12:45:26 pm,-84
05/31/2023 12:45:16 pm,-87
05/31/2023 12:45:06 pm,-90
