"Date and Time","snr","rssi"
"05/31/2023 01:06:46 pm","3,5","-91"
"05/31/2023 01:06:36 pm","5,5","-87"
"05/31/2023 01:06:26 pm","6,8",""
"05/31/2023 01:06:26 pm","","-89"
"05/31/2023 01:06:16 pm","10,2",""
"05/31/2023 01:06:16 pm","","-93"
"05/31/2023 01:05:56 pm","10","-90"
"05/31/2023 01:05:46 pm","7,8","-83"
"05/31/2023 01:05:36 pm","10","-84"
"05/31/2023 01:05:16 pm","10","-81"
"05/31/2023 01:05:06 pm","7,5","-77"
"05/31/2023 01:04:46 pm","7,8","-77"
"05/31/2023 01:04:36 pm","10,5","-91"
"05/31/2023 01:04:16 pm","10","-79"
"05/31/2023 01:04:06 pm","8,2",""
"05/31/2023 01:04:06 pm","","-76"
"05/31/2023 01:03:56 pm","7,5","-79"
"05/31/2023 01:03:36 pm","10,5","-81"
"05/31/2023 01:03:26 pm","10,2","-77"
"05/31/2023 01:03:16 pm","9,5","-77"
"05/31/2023 01:03:06 pm","9,8",""
"05/31/2023 01:03:06 pm","","-78"
"05/31/2023 01:02:56 pm","9,5","-76"
"05/31/2023 01:02:35 pm","9,8","-76"
"05/31/2023 01:02:15 pm","10,2",""
"05/31/2023 01:02:15 pm","","-78"
"05/31/2023 01:02:05 pm","7,8","-76"
"05/31/2023 01:01:55 pm","9,8","-75"
"05/31/2023 01:01:35 pm","7,8","-76"
"05/31/2023 01:01:25 pm","10","-79"
"05/31/2023 01:01:15 pm","7,5",""
"05/31/2023 01:01:15 pm","","-79"
"05/31/2023 01:01:05 pm","9,2",""
"05/31/2023 01:01:05 pm","","-79"
