"Date and Time","snr","rssi"
"05/29/2023 04:41:43 pm","-0.5",""
"05/29/2023 04:41:43 pm","","-90"
"05/29/2023 04:41:33 pm","10.8",""
"05/29/2023 04:41:33 pm","","-87"
"05/29/2023 04:41:21 pm","10.5","-90"
"05/29/2023 04:41:11 pm","11.8",""
"05/29/2023 04:41:11 pm","","-85"
"05/29/2023 04:41:00 pm","10.5","-79"
"05/29/2023 04:40:38 pm","10",""
"05/29/2023 04:40:38 pm","","-86"
"05/29/2023 04:40:15 pm","11",""
"05/29/2023 04:40:15 pm","","-87"
"05/29/2023 04:40:04 pm","8.5","-78"
"05/29/2023 04:39:53 pm","10.5",""
"05/29/2023 04:39:53 pm","","-85"
"05/29/2023 04:39:42 pm","9.8",""
"05/29/2023 04:39:42 pm","","-81"
"05/29/2023 04:39:20 pm","5.2","-91"
"05/29/2023 04:38:58 pm","8.2","-82"
"05/29/2023 04:38:36 pm","10.2","-84"
"05/29/2023 04:38:25 pm","11","-82"
"05/29/2023 04:38:14 pm","8.8","-79"
"05/29/2023 04:38:05 pm","8.8","-79"
"05/29/2023 04:36:37 pm","6.5","-88"
