"Date and Time","snr","rssi"
"05/31/2023 01:18:58 pm","11,2",""
"05/31/2023 01:18:58 pm","","-96"
"05/31/2023 01:18:38 pm","11,2",""
"05/31/2023 01:18:38 pm","","-89"
"05/31/2023 01:18:28 pm","11,8","-84"
"05/31/2023 01:18:18 pm","8,8","-84"
"05/31/2023 01:17:58 pm","4,8",""
"05/31/2023 01:17:58 pm","","-91"
"05/31/2023 01:17:48 pm","5","-93"
"05/31/2023 01:17:28 pm","8,5","-94"
"05/31/2023 01:17:18 pm","7,8","-87"
"05/31/2023 01:16:58 pm","10,2",""
"05/31/2023 01:16:58 pm","","-85"
"05/31/2023 01:16:48 pm","9,2",""
"05/31/2023 01:16:48 pm","","-91"
"05/31/2023 01:16:38 pm","9,8","-90"
"05/31/2023 01:16:18 pm","7,8","-81"
"05/31/2023 01:16:08 pm","10",""
"05/31/2023 01:16:08 pm","","-80"
"05/31/2023 01:15:58 pm","9,8",""
"05/31/2023 01:15:58 pm","","-77"
"05/31/2023 01:15:48 pm","9,8","-85"
"05/31/2023 01:15:27 pm","6,2",""
"05/31/2023 01:15:27 pm","","-82"
"05/31/2023 01:15:17 pm","7,2","-82"
"05/31/2023 01:14:57 pm","9","-79"
"05/31/2023 01:14:37 pm","7,2",""
"05/31/2023 01:14:37 pm","","-83"
"05/31/2023 01:14:27 pm","10,8","-85"
"05/31/2023 01:14:17 pm","8,8","-80"
"05/31/2023 01:14:07 pm","10,8","-81"
"05/31/2023 01:13:57 pm","9,8",""
"05/31/2023 01:13:57 pm","","-81"
"05/31/2023 01:13:47 pm","9,8",""
"05/31/2023 01:13:47 pm","","-82"
"05/31/2023 01:13:27 pm","7,8","-80"
"05/31/2023 01:13:17 pm","7",""
"05/31/2023 01:13:17 pm","","-82"
