"Date and Time","snr","rssi"
"06/05/2023 03:55:08 pm","8,8","-88"
"06/05/2023 03:54:48 pm","1,2",""
"06/05/2023 03:54:48 pm","","-113"
"06/05/2023 03:54:28 pm","7,8","-101"
"06/05/2023 03:54:15 pm","6,8","-103"
"06/05/2023 03:53:58 pm","10,8","-95"
"06/05/2023 03:53:48 pm","-7,2",""
"06/05/2023 03:53:48 pm","","-100"
"06/05/2023 03:53:38 pm","8,8",""
"06/05/2023 03:53:38 pm","","-95"
"06/05/2023 03:53:28 pm","8,2","-96"
"06/05/2023 03:53:18 pm","9,2","-99"
"06/05/2023 03:53:08 pm","10,5",""
"06/05/2023 03:53:08 pm","","-99"
"06/05/2023 03:52:58 pm","12",""
"06/05/2023 03:52:58 pm","","-93"
"06/05/2023 03:52:38 pm","10","-96"
"06/05/2023 03:52:18 pm","9,8",""
"06/05/2023 03:52:18 pm","","-96"
"06/05/2023 03:52:08 pm","9","-93"
"06/05/2023 03:51:58 pm","10",""
"06/05/2023 03:51:58 pm","","-93"
"06/05/2023 03:51:28 pm","10,5",""
"06/05/2023 03:51:28 pm","","-95"
"06/05/2023 03:50:57 pm","8,5","-97"
"06/05/2023 03:50:48 pm","7","-100"
"06/05/2023 03:50:28 pm","11",""
"06/05/2023 03:50:28 pm","","-94"
"06/05/2023 03:50:17 pm","9,5",""
"06/05/2023 03:50:17 pm","","-90"
