"Date and Time","snr","rssi"
"06/02/2023 04:29:48 pm","7.5","-96"
"06/02/2023 04:29:33 pm","9.8",""
"06/02/2023 04:29:33 pm","","-93"
"06/02/2023 04:29:04 pm","0.8","-90"
"06/02/2023 04:28:20 pm","8.5",""
"06/02/2023 04:28:20 pm","","-93"
"06/02/2023 04:27:58 pm","9.2",""
"06/02/2023 04:27:58 pm","","-90"
"06/02/2023 04:27:36 pm","9.5",""
"06/02/2023 04:27:36 pm","","-91"
"06/02/2023 04:26:52 pm","10","-93"
"06/02/2023 04:26:37 pm","9.5","-93"
"06/02/2023 04:26:08 pm","6.8","-93"
"06/02/2023 04:25:46 pm","6","-91"
"06/02/2023 04:25:24 pm","9.2","-97"
"06/02/2023 04:25:02 pm","8.2",""
"06/02/2023 04:25:02 pm","","-95"
"06/02/2023 04:24:40 pm","8",""
"06/02/2023 04:24:40 pm","","-93"
"06/02/2023 04:24:18 pm","9.5","-91"
"06/02/2023 04:23:56 pm","8.2","-93"
"06/02/2023 04:23:41 pm","7.5",""
"06/02/2023 04:23:41 pm","","-93"
"06/02/2023 04:23:19 pm","9.8",""
"06/02/2023 04:23:19 pm","","-95"
"06/02/2023 04:22:28 pm","9.5",""
"06/02/2023 04:22:28 pm","","-96"
"06/02/2023 04:22:06 pm","7","-90"
"06/02/2023 04:21:44 pm","9",""
"06/02/2023 04:21:44 pm","","-91"
"06/02/2023 04:21:29 pm","-3.8",""
"06/02/2023 04:21:29 pm","","-93"
"06/02/2023 04:21:00 pm","9.8",""
"06/02/2023 04:21:00 pm","","-91"
"06/02/2023 04:20:45 pm","7.8",""
"06/02/2023 04:20:45 pm","","-92"
"06/02/2023 04:20:01 pm","8","-91"
"06/02/2023 04:19:32 pm","9.2","-93"
"06/02/2023 04:19:10 pm","9",""
"06/02/2023 04:19:10 pm","","-91"
"06/02/2023 04:18:48 pm","7","-91"
"06/02/2023 04:18:33 pm","8.5","-93"
"06/02/2023 04:18:04 pm","8.8","-91"
"06/02/2023 04:17:49 pm","10.2","-90"
"06/02/2023 04:17:20 pm","7.2",""
"06/02/2023 04:17:20 pm","","-90"
"06/02/2023 04:16:58 pm","8.2","-90"
"06/02/2023 04:16:36 pm","9.8","-89"
"06/02/2023 04:16:14 pm","8.5","-84"
"06/02/2023 04:15:53 pm","2.2","-84"
"06/02/2023 04:15:08 pm","9",""
"06/02/2023 04:15:08 pm","","-85"
"06/02/2023 04:14:24 pm","9.8","-89"
"06/02/2023 04:14:02 pm","-3.8",""
"06/02/2023 04:14:02 pm","","-81"
"06/02/2023 04:13:40 pm","9",""
"06/02/2023 04:13:40 pm","","-84"
"06/02/2023 04:13:25 pm","9.5","-85"
"06/02/2023 04:12:55 pm","8",""
"06/02/2023 04:12:55 pm","","-84"
"06/02/2023 04:12:33 pm","4.5","-77"
"06/02/2023 04:12:11 pm","8",""
"06/02/2023 04:12:11 pm","","-84"
"06/02/2023 04:11:57 pm","9.5","-84"
"06/02/2023 04:11:27 pm","8.8",""
"06/02/2023 04:11:27 pm","","-85"
"06/02/2023 04:11:05 pm","8.5",""
"06/02/2023 04:11:05 pm","","-83"
"06/02/2023 04:10:43 pm","8.5","-83"
"06/02/2023 04:10:21 pm","10.5",""
"06/02/2023 04:10:21 pm","","-84"
"06/02/2023 04:09:59 pm","10",""
"06/02/2023 04:09:59 pm","","-84"
"06/02/2023 04:09:37 pm","7.8",""
"06/02/2023 04:09:37 pm","","-87"
"06/02/2023 04:09:15 pm","8.5","-87"
"06/02/2023 04:08:53 pm","7.2",""
"06/02/2023 04:08:53 pm","","-85"
"06/02/2023 04:08:31 pm","9",""
"06/02/2023 04:08:31 pm","","-87"
"06/02/2023 04:08:16 pm","3.2",""
"06/02/2023 04:08:16 pm","","-84"
"06/02/2023 04:07:47 pm","8.8","-93"
"06/02/2023 04:07:10 pm","9","-91"
"06/02/2023 04:06:41 pm","5.8",""
"06/02/2023 04:06:41 pm","","-105"
"06/02/2023 04:06:19 pm","8.8","-91"
"06/02/2023 04:05:57 pm","9",""
"06/02/2023 04:05:57 pm","","-96"
"06/02/2023 04:05:42 pm","8.8",""
"06/02/2023 04:05:42 pm","","-97"
"06/02/2023 04:05:20 pm","6.5","-91"
"06/02/2023 04:04:36 pm","3.2","-88"
"06/02/2023 04:04:07 pm","8",""
"06/02/2023 04:04:07 pm","","-85"
"06/02/2023 04:03:45 pm","9.2","-85"
"06/02/2023 04:03:23 pm","10.2","-85"
"06/02/2023 04:03:08 pm","8.5",""
"06/02/2023 04:03:08 pm","","-84"
"06/02/2023 04:02:39 pm","7.8","-85"
"06/02/2023 04:02:28 pm","10.8",""
"06/02/2023 04:02:28 pm","","-87"
"06/02/2023 04:02:06 pm","9",""
"06/02/2023 04:02:06 pm","","-89"
"06/02/2023 04:01:55 pm","11.5","-85"
"06/02/2023 04:01:44 pm","11.5",""
"06/02/2023 04:01:44 pm","","-87"
"06/02/2023 04:01:33 pm","7.5","-77"
"06/02/2023 04:01:11 pm","11","-89"
"06/02/2023 04:01:00 pm","11.2","-91"
"06/02/2023 04:00:49 pm","9.8",""
"06/02/2023 04:00:49 pm","","-87"
"06/02/2023 04:00:27 pm","9.5","-86"
"06/02/2023 04:00:16 pm","10.8","-89"
