"Date and Time","snr","rssi"
"06/02/2023 04:59:09 pm","10","-85"
"06/02/2023 04:58:25 pm","8.5",""
"06/02/2023 04:58:25 pm","","-83"
"06/02/2023 04:58:03 pm","6.8",""
"06/02/2023 04:58:03 pm","","-89"
"06/02/2023 04:57:41 pm","9.5","-85"
"06/02/2023 04:57:26 pm","8",""
"06/02/2023 04:57:26 pm","","-89"
"06/02/2023 04:56:57 pm","9.5","-87"
"06/02/2023 04:56:35 pm","9.5",""
"06/02/2023 04:56:35 pm","","-89"
"06/02/2023 04:56:13 pm","9",""
"06/02/2023 04:56:13 pm","","-91"
"06/02/2023 04:55:58 pm","10.2",""
"06/02/2023 04:55:58 pm","","-89"
"06/02/2023 04:55:29 pm","8.8",""
"06/02/2023 04:55:29 pm","","-87"
"06/02/2023 04:55:14 pm","8.2",""
"06/02/2023 04:55:14 pm","","-87"
"06/02/2023 04:54:45 pm","5","-87"
"06/02/2023 04:54:23 pm","9.8","-89"
"06/02/2023 04:54:01 pm","8.8",""
"06/02/2023 04:54:01 pm","","-89"
"06/02/2023 04:53:46 pm","7",""
"06/02/2023 04:53:46 pm","","-89"
"06/02/2023 04:53:17 pm","9.8","-88"
"06/02/2023 04:52:55 pm","8.2",""
"06/02/2023 04:52:55 pm","","-85"
"06/02/2023 04:52:33 pm","7.8",""
"06/02/2023 04:52:33 pm","","-85"
"06/02/2023 04:52:18 pm","11","-87"
"06/02/2023 04:51:49 pm","9.2","-90"
"06/02/2023 04:51:27 pm","7.2",""
"06/02/2023 04:51:27 pm","","-89"
"06/02/2023 04:51:05 pm","9.2",""
"06/02/2023 04:51:05 pm","","-85"
"06/02/2023 04:50:50 pm","9.2","-93"
"06/02/2023 04:50:21 pm","9",""
"06/02/2023 04:50:21 pm","","-90"
"06/02/2023 04:49:59 pm","5","-90"
"06/02/2023 04:49:37 pm","9","-89"
"06/02/2023 04:49:15 pm","8.5",""
"06/02/2023 04:49:15 pm","","-89"
"06/02/2023 04:48:53 pm","6.8",""
"06/02/2023 04:48:53 pm","","-87"
"06/02/2023 04:48:31 pm","8.8",""
"06/02/2023 04:48:31 pm","","-85"
"06/02/2023 04:48:09 pm","9.2","-87"
