"Date and Time","snr","rssi"
"05/31/2023 12:50:57 pm","11,8",""
"05/31/2023 12:50:57 pm","","-90"
"05/31/2023 12:50:07 pm","8,2",""
"05/31/2023 12:50:07 pm","","-87"
"05/31/2023 12:49:57 pm","-3,8",""
"05/31/2023 12:49:57 pm","","-87"
"05/31/2023 12:49:37 pm","11,8",""
"05/31/2023 12:49:37 pm","","-85"
"05/31/2023 12:49:27 pm","10,2","-85"
"05/31/2023 12:49:17 pm","10,8","-84"
"05/31/2023 12:49:07 pm","8,5","-85"
"05/31/2023 12:48:47 pm","10,8",""
"05/31/2023 12:48:47 pm","","-85"
"05/31/2023 12:48:37 pm","11","-84"
"05/31/2023 12:48:27 pm","8,5",""
"05/31/2023 12:48:27 pm","","-89"
"05/31/2023 12:48:07 pm","11,2","-89"
"05/31/2023 12:47:57 pm","9,5","-87"
"05/31/2023 12:47:27 pm","11,5",""
"05/31/2023 12:47:27 pm","","-87"
"05/31/2023 12:47:17 pm","10,5",""
"05/31/2023 12:47:17 pm","","-87"
"05/31/2023 12:46:57 pm","11",""
"05/31/2023 12:46:57 pm","","-90"
"05/31/2023 12:46:37 pm","10,8",""
"05/31/2023 12:46:36 pm","","-93"
"05/31/2023 12:46:16 pm","8,8",""
"05/31/2023 12:46:16 pm","","-95"
"05/31/2023 12:46:06 pm","12",""
"05/31/2023 12:46:06 pm","","-93"
"05/31/2023 12:45:56 pm","12","-87"
"05/31/2023 12:45:46 pm","8,5",""
"05/31/2023 12:45:46 pm","","-83"
"05/31/2023 12:45:26 pm","9,8","-84"
"05/31/2023 12:45:16 pm","9,8",""
"05/31/2023 12:45:16 pm","","-87"
"05/31/2023 12:45:06 pm","7,5","-90"
