"Date and Time","snr","rssi"
"05/31/2023 12:56:48 pm","9,2","-77"
"05/31/2023 12:56:18 pm","7,2",""
"05/31/2023 12:56:18 pm","","-72"
"05/31/2023 12:55:55 pm","9,5",""
"05/31/2023 12:55:55 pm","","-95"
"05/31/2023 12:55:38 pm","11,2","-95"
"05/31/2023 12:55:28 pm","10,2",""
"05/31/2023 12:55:28 pm","","-93"
"05/31/2023 12:55:08 pm","9,8",""
"05/31/2023 12:55:08 pm","","-95"
"05/31/2023 12:54:58 pm","11,8","-93"
"05/31/2023 12:54:48 pm","7,2","-97"
"05/31/2023 12:54:38 pm","9,8",""
"05/31/2023 12:54:38 pm","","-95"
"05/31/2023 12:54:08 pm","7,5",""
"05/31/2023 12:54:08 pm","","-95"
"05/31/2023 12:53:58 pm","9,8","-93"
"05/31/2023 12:53:48 pm","10,8",""
"05/31/2023 12:53:48 pm","","-88"
"05/31/2023 12:53:18 pm","9,8","-90"
"05/31/2023 12:53:07 pm","11",""
"05/31/2023 12:53:07 pm","","-91"
"05/31/2023 12:52:47 pm","11,5",""
"05/31/2023 12:52:47 pm","","-93"
"05/31/2023 12:52:07 pm","8,8","-95"
"05/31/2023 12:51:57 pm","5,8","-107"
"05/31/2023 12:51:47 pm","11,8","-95"
"05/31/2023 12:51:37 pm","2",""
"05/31/2023 12:51:37 pm","","-99"
"05/31/2023 12:51:27 pm","11","-90"
"05/31/2023 12:51:17 pm","9,5",""
"05/31/2023 12:51:17 pm","","-95"
