"Date and Time","snr","rssi"
"05/31/2023 01:11:57 pm","6,2","-83"
"05/31/2023 01:11:47 pm","8",""
"05/31/2023 01:11:47 pm","","-88"
"05/31/2023 01:11:27 pm","9,5","-85"
"05/31/2023 01:11:17 pm","10",""
"05/31/2023 01:11:17 pm","","-89"
"05/31/2023 01:11:07 pm","9,8","-93"
"05/31/2023 01:10:57 pm","9,8",""
"05/31/2023 01:10:57 pm","","-85"
"05/31/2023 01:10:47 pm","9,2","-84"
"05/31/2023 01:10:37 pm","7,5","-87"
"05/31/2023 01:10:27 pm","9,8","-87"
"05/31/2023 01:09:57 pm","9,5","-88"
"05/31/2023 01:09:47 pm","9,2",""
"05/31/2023 01:09:47 pm","","-85"
"05/31/2023 01:09:27 pm","6","-83"
"05/31/2023 01:09:17 pm","9,8","-85"
"05/31/2023 01:09:06 pm","8,8",""
"05/31/2023 01:09:06 pm","","-89"
"05/31/2023 01:08:46 pm","7,2",""
"05/31/2023 01:08:46 pm","","-87"
"05/31/2023 01:08:36 pm","10","-90"
"05/31/2023 01:08:26 pm","-6,2",""
"05/31/2023 01:08:26 pm","","-90"
"05/31/2023 01:08:16 pm","8,5",""
"05/31/2023 01:08:16 pm","","-97"
"05/31/2023 01:07:56 pm","9,2","-88"
"05/31/2023 01:07:46 pm","9,8","-93"
"05/31/2023 01:07:16 pm","9,5",""
"05/31/2023 01:07:16 pm","","-85"
"05/31/2023 01:07:06 pm","9,8","-91"
"05/31/2023 01:06:46 pm","3,5","-91"
"05/31/2023 01:06:36 pm","5,5","-87"
"05/31/2023 01:06:26 pm","6,8",""
"05/31/2023 01:06:26 pm","","-89"
"05/31/2023 01:06:16 pm","10,2",""
"05/31/2023 01:06:16 pm","","-93"
