"Date and Time","snr","rssi"
"05/29/2023 04:56:38 pm","9.2",""
"05/29/2023 04:56:38 pm","","-93"
"05/29/2023 04:56:27 pm","6.8",""
"05/29/2023 04:56:27 pm","","-87"
"05/29/2023 04:56:16 pm","8.8","-95"
"05/29/2023 04:56:05 pm","9.2","-89"
"05/29/2023 04:55:43 pm","6.8",""
"05/29/2023 04:55:43 pm","","-101"
"05/29/2023 04:55:32 pm","3.5",""
"05/29/2023 04:55:32 pm","","-103"
"05/29/2023 04:55:10 pm","8.8","-87"
"05/29/2023 04:54:59 pm","8.8","-84"
"05/29/2023 04:54:37 pm","9.5","-84"
"05/29/2023 04:54:15 pm","8.2",""
"05/29/2023 04:54:15 pm","","-95"
"05/29/2023 04:54:04 pm","9.2","-91"
"05/29/2023 04:53:53 pm","7.2",""
"05/29/2023 04:53:53 pm","","-87"
"05/29/2023 04:53:42 pm","7","-100"
"05/29/2023 04:53:09 pm","5.5",""
"05/29/2023 04:53:09 pm","","-97"
"05/29/2023 04:52:47 pm","10.2","-89"
"05/29/2023 04:52:37 pm","6.2",""
"05/29/2023 04:52:37 pm","","-87"
"05/29/2023 04:52:26 pm","5.2",""
"05/29/2023 04:52:26 pm","","-85"
