"Date and Time","rssi"
"05/31/2023 12:55:55 pm","-95"
"05/31/2023 12:55:38 pm","-95"
"05/31/2023 12:55:28 pm","-93"
"05/31/2023 12:55:08 pm","-95"
"05/31/2023 12:54:58 pm","-93"
"05/31/2023 12:54:48 pm","-97"
"05/31/2023 12:54:38 pm","-95"
"05/31/2023 12:54:08 pm","-95"
"05/31/2023 12:53:58 pm","-93"
"05/31/2023 12:53:48 pm","-88"
"05/31/2023 12:53:18 pm","-90"
"05/31/2023 12:53:07 pm","-91"
"05/31/2023 12:52:47 pm","-93"
"05/31/2023 12:52:07 pm","-95"
"05/31/2023 12:51:57 pm","-107"
"05/31/2023 12:51:47 pm","-95"
"05/31/2023 12:51:37 pm","-99"
"05/31/2023 12:51:27 pm","-90"
"05/31/2023 12:51:17 pm","-95"
