"Date and Time","snr","rssi"
"06/02/2023 05:16:34 pm","10,8","-78"
"06/02/2023 05:16:04 pm","7",""
"06/02/2023 05:16:04 pm","","-77"
"06/02/2023 05:15:34 pm","9,5",""
"06/02/2023 05:15:34 pm","","-79"
"06/02/2023 05:15:24 pm","10,8",""
"06/02/2023 05:15:24 pm","","-85"
"06/02/2023 05:14:54 pm","6,8","-84"
"06/02/2023 05:14:44 pm","8","-93"
"06/02/2023 05:14:34 pm","12","-81"
"06/02/2023 05:14:04 pm","10","-83"
"06/02/2023 05:13:54 pm","8,8",""
"06/02/2023 05:13:54 pm","","-84"
"06/02/2023 05:13:44 pm","10,2","-77"
"06/02/2023 05:13:34 pm","11,2",""
"06/02/2023 05:13:34 pm","","-90"
"06/02/2023 05:13:24 pm","8,8",""
"06/02/2023 05:13:24 pm","","-81"
"06/02/2023 05:13:04 pm","10,5","-83"
"06/02/2023 05:12:54 pm","11,2","-82"
"06/02/2023 05:12:44 pm","10,2",""
"06/02/2023 05:12:44 pm","","-78"
"06/02/2023 05:12:34 pm","8,8",""
"06/02/2023 05:12:34 pm","","-81"
"06/02/2023 05:12:04 pm","11",""
"06/02/2023 05:12:04 pm","","-83"
"06/02/2023 05:11:44 pm","12,2","-77"
"06/02/2023 05:11:24 pm","11,5","-85"
"06/02/2023 05:11:14 pm","3",""
"06/02/2023 05:11:14 pm","","-91"
"06/02/2023 05:11:06 pm","7,5",""
"06/02/2023 05:11:06 pm","","-79"
