"Date and Time","rssi"
"05/31/2023 01:10:57 pm","-85"
"05/31/2023 01:10:47 pm","-84"
"05/31/2023 01:10:37 pm","-87"
"05/31/2023 01:10:27 pm","-87"
"05/31/2023 01:09:57 pm","-88"
"05/31/2023 01:09:47 pm","-85"
"05/31/2023 01:09:27 pm","-83"
"05/31/2023 01:09:17 pm","-85"
"05/31/2023 01:09:06 pm","-89"
"05/31/2023 01:08:46 pm","-87"
"05/31/2023 01:08:36 pm","-90"
"05/31/2023 01:08:26 pm","-90"
"05/31/2023 01:08:16 pm","-97"
"05/31/2023 01:07:56 pm","-88"
"05/31/2023 01:07:46 pm","-93"
"05/31/2023 01:07:16 pm","-85"
"05/31/2023 01:07:06 pm","-91"
"05/31/2023 01:06:46 pm","-91"
"05/31/2023 01:06:36 pm","-87"
"05/31/2023 01:06:26 pm","-89"
"05/31/2023 01:06:16 pm","-93"
