"Date and Time","snr","rssi"
"06/05/2023 04:11:03 pm","6,5","-100"
"06/05/2023 04:10:53 pm","6,5",""
"06/05/2023 04:10:53 pm","","-105"
"06/05/2023 04:10:23 pm","10",""
"06/05/2023 04:10:23 pm","","-97"
"06/05/2023 04:10:13 pm","9,5","-97"
"06/05/2023 04:10:03 pm","10","-101"
"06/05/2023 04:09:42 pm","9,8",""
"06/05/2023 04:09:42 pm","","-101"
"06/05/2023 04:09:23 pm","7,2",""
"06/05/2023 04:09:23 pm","","-101"
"06/05/2023 04:09:12 pm","7,2",""
"06/05/2023 04:09:12 pm","","-102"
"06/05/2023 04:08:52 pm","11",""
"06/05/2023 04:08:52 pm","","-96"
"06/05/2023 04:08:42 pm","9","-96"
"06/05/2023 04:08:22 pm","8,8",""
"06/05/2023 04:08:22 pm","","-97"
"06/05/2023 04:08:12 pm","7,8","-102"
"06/05/2023 04:08:02 pm","10","-99"
"06/05/2023 04:07:42 pm","10","-95"
"06/05/2023 04:07:32 pm","4,8","-99"
"06/05/2023 04:07:12 pm","7,2","-103"
"06/05/2023 04:06:52 pm","7,8",""
"06/05/2023 04:06:52 pm","","-103"
"06/05/2023 04:06:22 pm","9,2","-105"
"06/05/2023 04:06:13 pm","6,2","-109"
