"Date and Time","snr","rssi"
"06/05/2023 04:16:10 pm","5.8","-103"
"06/05/2023 04:15:59 pm","3","-105"
"06/05/2023 04:15:48 pm","8","-101"
"06/05/2023 04:15:37 pm","-0.2","-99"
"06/05/2023 04:15:26 pm","2.5",""
"06/05/2023 04:15:26 pm","","-101"
"06/05/2023 04:15:15 pm","8.5","-102"
"06/05/2023 04:14:53 pm","2.8",""
"06/05/2023 04:14:53 pm","","-103"
"06/05/2023 04:14:42 pm","8.8",""
"06/05/2023 04:14:42 pm","","-102"
"06/05/2023 04:14:09 pm","9.5","-101"
"06/05/2023 04:13:58 pm","3.5","-103"
"06/05/2023 04:13:36 pm","-4.2",""
"06/05/2023 04:13:36 pm","","-97"
"06/05/2023 04:13:25 pm","7.2",""
"06/05/2023 04:13:25 pm","","-99"
"06/05/2023 04:13:03 pm","2.8","-105"
"06/05/2023 04:12:41 pm","-8","-105"
"06/05/2023 04:12:30 pm","7.2",""
"06/05/2023 04:12:30 pm","","-103"
"06/05/2023 04:12:08 pm","7.5",""
"06/05/2023 04:12:08 pm","","-103"
"06/05/2023 04:11:46 pm","6",""
"06/05/2023 04:11:46 pm","","-103"
"06/05/2023 04:11:35 pm","-1.2",""
"06/05/2023 04:11:35 pm","","-103"
"06/05/2023 04:11:25 pm","3",""
"06/05/2023 04:11:25 pm","","-100"
"06/05/2023 04:11:03 pm","-12.5",""
"06/05/2023 04:11:03 pm","","-114"
