"Date and Time","snr","rssi"
"06/02/2023 05:34:50 pm","7,5","-91"
"06/02/2023 05:34:00 pm","10,8",""
"06/02/2023 05:34:00 pm","","-89"
"06/02/2023 05:33:50 pm","7,5","-89"
"06/02/2023 05:33:40 pm","8,8","-84"
"06/02/2023 05:33:30 pm","8,2",""
"06/02/2023 05:33:30 pm","","-95"
"06/02/2023 05:33:10 pm","9,5","-87"
"06/02/2023 05:32:50 pm","9,8","-83"
"06/02/2023 05:32:40 pm","9,2",""
"06/02/2023 05:32:40 pm","","-88"
"06/02/2023 05:32:20 pm","-5,2","-84"
"06/02/2023 05:32:00 pm","7,5",""
"06/02/2023 05:32:00 pm","","-94"
"06/02/2023 05:31:50 pm","8,8","-97"
"06/02/2023 05:31:30 pm","9,2",""
"06/02/2023 05:31:30 pm","","-89"
"06/02/2023 05:31:20 pm","7,8",""
"06/02/2023 05:31:20 pm","","-94"
"06/02/2023 05:31:10 pm","9",""
"06/02/2023 05:31:10 pm","","-102"
"06/02/2023 05:30:50 pm","8","-81"
"06/02/2023 05:30:39 pm","7","-99"
"06/02/2023 05:30:29 pm","10",""
"06/02/2023 05:30:29 pm","","-93"
"06/02/2023 05:30:20 pm","6,5","-103"
"06/02/2023 05:29:59 pm","9,8",""
"06/02/2023 05:29:59 pm","","-85"
"06/02/2023 05:29:49 pm","7","-84"
"06/02/2023 05:29:30 pm","13",""
"06/02/2023 05:29:30 pm","","-95"
"06/02/2023 05:29:21 pm","7",""
"06/02/2023 05:29:21 pm","","-84"
