"Date and Time","snr","rssi"
"06/12/2023 04:13:59 pm","9","-77"
"06/12/2023 04:13:37 pm","9",""
"06/12/2023 04:13:37 pm","","-75"
"06/12/2023 04:13:25 pm","10",""
"06/12/2023 04:13:25 pm","","-75"
"06/12/2023 04:12:52 pm","9.5",""
"06/12/2023 04:12:52 pm","","-75"
"06/12/2023 04:12:42 pm","7",""
"06/12/2023 04:12:42 pm","","-76"
"06/12/2023 04:12:19 pm","9",""
"06/12/2023 04:12:19 pm","","-93"
"06/12/2023 04:12:09 pm","9","-79"
"06/12/2023 04:11:57 pm","7.2","-90"
"06/12/2023 04:11:46 pm","9.2","-82"
"06/12/2023 04:11:35 pm","9",""
"06/12/2023 04:11:35 pm","","-84"
"06/12/2023 04:11:24 pm","9.8","-75"
"06/12/2023 04:11:13 pm","9","-76"
"06/12/2023 04:11:03 pm","10.8","-71"
"06/12/2023 04:10:51 pm","9.5","-76"
"06/12/2023 04:10:29 pm","8.2",""
"06/12/2023 04:10:29 pm","","-65"
"06/12/2023 04:10:07 pm","11","-77"
"06/12/2023 04:09:45 pm","10.2",""
"06/12/2023 04:09:45 pm","","-85"
"06/12/2023 04:09:34 pm","11.8",""
"06/12/2023 04:09:34 pm","","-75"
"06/12/2023 04:09:23 pm","12",""
"06/12/2023 04:09:23 pm","","-75"
"06/12/2023 04:09:14 pm","8.2",""
"06/12/2023 04:09:14 pm","","-75"
