"Date and Time","snr","rssi"
"06/19/2023 07:58:50 pm","2",""
"06/19/2023 07:58:50 pm","","-108"
"06/19/2023 07:58:10 pm","-7.2","-103"
"06/19/2023 07:58:00 pm","1.2","-108"
"06/19/2023 07:57:50 pm","-10.5",""
"06/19/2023 07:57:50 pm","","-113"
"06/19/2023 07:57:30 pm","-1",""
"06/19/2023 07:57:30 pm","","-105"
"06/19/2023 07:57:20 pm","-2.5","-109"
"06/19/2023 07:57:00 pm","-0.2",""
"06/19/2023 07:57:00 pm","","-107"
"06/19/2023 07:56:51 pm","2",""
"06/19/2023 07:56:51 pm","","-107"
"06/19/2023 07:55:35 pm","2.5","-105"
"06/19/2023 07:55:25 pm","0.2","-108"
"06/19/2023 07:54:46 pm","0.2","-107"
"06/19/2023 07:54:36 pm","-3",""
"06/19/2023 07:54:36 pm","","-109"
"06/19/2023 07:53:37 pm","-1",""
"06/19/2023 07:53:37 pm","","-111"
"06/19/2023 07:52:37 pm","4","-111"
"06/19/2023 07:52:27 pm","-1.8","-113"
"06/19/2023 07:52:17 pm","6","-103"
"06/19/2023 07:52:07 pm","2.5","-105"
"06/19/2023 07:51:57 pm","3.8",""
"06/19/2023 07:51:57 pm","","-106"
"06/19/2023 07:51:19 pm","4.8","-105"
"06/19/2023 07:46:56 pm","6.5","-107"
"06/19/2023 07:46:26 pm","-7.2","-103"
"06/19/2023 07:45:48 pm","5.2","-106"
"06/19/2023 07:45:28 pm","","-107"
"06/19/2023 07:44:45 pm","6.5","-108"
"06/19/2023 07:44:25 pm","5.2",""
"06/19/2023 07:44:25 pm","","-108"
"06/19/2023 07:44:08 pm","-3.5","-109"
"06/19/2023 07:43:55 pm","2.8","-109"
"06/19/2023 07:43:05 pm","","-113"
"06/19/2023 07:42:48 pm","-7","-113"
"06/19/2023 07:42:05 pm","0.2","-109"
"06/19/2023 07:41:45 pm","0.5",""
"06/19/2023 07:41:45 pm","","-111"
"06/19/2023 07:41:32 pm","1","-109"
"06/19/2023 07:40:35 pm","-3","-101"
"06/19/2023 07:40:22 pm","2.5","-111"
"06/19/2023 07:39:31 pm","-10.2",""
"06/19/2023 07:39:31 pm","","-113"
"06/19/2023 07:39:07 pm","-2.2",""
"06/19/2023 07:39:07 pm","","-109"
"06/19/2023 07:38:57 pm","-2.5",""
"06/19/2023 07:38:57 pm","","-107"
"06/19/2023 07:38:17 pm","2.5","-111"
"06/19/2023 07:38:07 pm","-4",""
"06/19/2023 07:38:07 pm","","-111"
"06/19/2023 07:37:24 pm","1.8",""
"06/19/2023 07:37:24 pm","","-111"
"06/19/2023 07:36:54 pm","-7","-113"
"06/19/2023 07:36:07 pm","-5.8","-107"
"06/19/2023 07:35:36 pm","1.5",""
"06/19/2023 07:35:36 pm","","-113"
"06/19/2023 07:35:26 pm","-1.2",""
"06/19/2023 07:35:26 pm","","-108"
"06/19/2023 07:34:50 pm","3.5",""
"06/19/2023 07:34:50 pm","","-107"
"06/19/2023 07:34:23 pm","","-106"
"06/19/2023 07:34:10 pm","1","-111"
"06/19/2023 07:33:16 pm","-1.8","-112"
"06/19/2023 07:33:06 pm","-0.8","-105"
"06/19/2023 07:32:13 pm","-2.2",""
"06/19/2023 07:32:13 pm","","-108"
"06/19/2023 07:31:50 pm","-1.8","-111"
